lat_max lat_min fecha_evento    post_sismico   
-43 -47 2007.3014840182648  2010
-20 -25 2007.87023  2009
-31.5 -41.5 2010.1568493150685  2013
-18 -22 2014.24832  2015.99
-29 -33 2015.7068493150684  2015.99
-33 -41 2011.0047184170471  2011.0047184170471
-33 -41 2011.1123287671232  2011.1123287671232
-33 -38 2012.2295081967213  2012.2295081967213




